frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.cap_len,frame.len,frame.number,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,tcp.len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,ip.proto
"0.000083000","0.000083000","1593619877.362817000",,"1.003465000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","11","0","0.001420000","0.000083000","0","4095","0x000029fa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000625000","0.000625000","1593619877.363442000",,"1.004090000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000010","1514","1514","12","0","0.001420000","0.000625000","1460","513","0x0000f0c3",,,,,,,,,,,,,,,"0","0x00000031",,"44","6d6f7371756974746f2076657273696f6e20312e362e39",,"3",,,,,"0","1",,,"$SYS/broker/version","19",,,,,,,,"6"
"0.000366000","0.000366000","1593619877.363808000",,"1.004456000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000018","67","67","13","0","0.001420000","0.000366000","13","513","0x00006726",,,,,,,,,,,,,,,"0","0x00000031",,"39","3430",,"3",,,,,"0","1",,,"$SYS/broker/retained messages/count","35",,,,,,,,"6"
"0.000075000","0.000075000","1593619877.363883000",,"1.004531000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","14","0","0.001420000","0.000075000","0","4073","0x0000244f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000306000","0.000306000","1593619877.364189000",,"1.004837000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000018","344","344","15","0","0.001420000","0.000306000","290","513","0x0000528e",,,,,,,,,,,,,,,"0","0x00000031",,"31","3435313630",,"3",,,,,"0","1",,,"$SYS/broker/heap/current","24",,,,,,,,"6"
"0.000130000","0.000130000","1593619877.364319000",,"1.004967000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","16","0","0.001420000","0.000130000","0","4070","0x00002330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"1.755545000","1.755545000","1593619879.119864000",,"2.760512000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65205","1883","0x00000002","78","78","17","1",,"0.000000000","0","65535","0x0000122f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000994000","0.000994000","1593619879.120858000",,"2.761506000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65205","0x00000012","66","66","18","1",,"0.000994000","0","65535","0x000035eb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000047000","0.000047000","1593619879.120905000",,"2.761553000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65205","1883","0x00000010","54","54","19","1","0.001041000","0.000047000","0","4096","0x000066be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000131000","0.000131000","1593619879.121036000",,"2.761684000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65205","1883","0x00000018","72","72","20","1","0.001041000","0.000131000","18","4096","0x0000c8ce","test","4",,,,,"1","0","0","0","0","0","0","0x00000002",,"0x00000010","60","16",,,"1",,,"4","MQTT",,,,,,,,,"4",,,,,"6"
"0.000221000","0.000221000","1593619879.121257000",,"2.761905000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65205","1883","0x00000019","68","68","21","1","0.001041000","0.000221000","14","4096","0x0000269f",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000437000","0.000437000","1593619879.121694000",,"2.762342000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000002","78","78","22","2",,"0.000000000","0","65535","0x0000e51f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.001007000","0.001007000","1593619879.122701000",,"2.763349000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65205","0x00000010","60","60","23","1","0.001041000","0.001444000","0","513","0x0000749c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000005000","0.000005000","1593619879.122706000",,"2.763354000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65208","0x00000012","66","66","24","2",,"0.001012000","0","65535","0x00002a8d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000083000","0.000083000","1593619879.122789000",,"2.763437000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000010","54","54","25","2","0.001095000","0.000083000","0","4096","0x00005b60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000179000","0.000179000","1593619879.122968000",,"2.763616000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000018","69","69","26","2","0.001095000","0.000179000","15","4096","0x00008153","$","1",,,,,"1","0","0","0","0","0","0","0x00000002",,"0x00000010","60","13",,,"1",,,"4","MQTT",,,,,,,,,"4",,,,,"6"
"0.000113000","0.000113000","1593619879.123081000",,"2.763729000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65205","0x00000018","60","60","27","1","0.001041000","0.000380000","4","513","0x0000548e",,,"0x00000000","0","0","0",,,,,,,,,,"0x00000020",,"2",,,"2",,,,,,,,,,,,,,,,,,"6"
"0.000005000","0.000005000","1593619879.123086000",,"2.763734000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000018","68","68","28","0","0.001420000","1.758767000","14","513","0x0000f108",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000001000","0.000001000","1593619879.123087000",,"2.763735000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65205","0x00000011","60","60","29","1",,"0.000006000","0","513","0x00007497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000103000","0.000103000","1593619879.123190000",,"2.763838000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65205","1883","0x00000004","54","54","30","1",,"0.000103000","0","0","0x0000e7e6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.123191000",,"2.763839000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65205","1883","0x00000004","54","54","31","1",,"0.000001000","0","0","0x0000e7e6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000000000","0.000000000","1593619879.123191000",,"2.763839000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","32","0","0.001420000","0.000105000","0","4095","0x00002309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000359000","0.000359000","1593619879.123550000",,"2.764198000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000019","68","68","33","2","0.001095000","0.000582000","14","4096","0x00001b44",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000681000","0.000681000","1593619879.124231000",,"2.764879000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65211","1883","0x00000002","78","78","34","3",,"0.000000000","0","65535","0x000092e9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.001461000","0.001461000","1593619879.125692000",,"2.766340000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65208","0x00000018","60","60","35","2","0.001095000","0.002142000","4","513","0x00004942",,,"0x00000000","0","0","0",,,,,,,,,,"0x00000020",,"2",,,"2",,,,,,,,,,,,,,,,,,"6"
"0.000004000","0.000004000","1593619879.125696000",,"2.766344000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65208","0x00000010","60","60","36","2","0.001095000","0.000004000","0","513","0x0000693d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.125697000",,"2.766345000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65211","0x00000012","66","66","37","3",,"0.001466000","0","65535","0x0000e4c9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000000000","0.000000000","1593619879.125697000",,"2.766345000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000018","68","68","38","0","0.001420000","0.002506000","14","513","0x0000f0fa",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000001000","0.000001000","1593619879.125698000",,"2.766346000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65208","0x00000011","60","60","39","2",,"0.000002000","0","513","0x0000693c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000099000","0.000099000","1593619879.125797000",,"2.766445000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000004","54","54","40","2",,"0.000099000","0","0","0x0000baea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.125798000",,"2.766446000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000004","54","54","41","2",,"0.000001000","0","0","0x0000badb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000081000","0.000081000","1593619879.125879000",,"2.766527000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65211","1883","0x00000010","54","54","42","3","0.001648000","0.000182000","0","4096","0x0000159d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000000000","0.000000000","1593619879.125879000",,"2.766527000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","43","0","0.001420000","0.000182000","0","4095","0x000022fb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.125880000",,"2.766528000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65208","1883","0x00000004","54","54","44","2",,"0.000082000","0","0","0x0000badb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000214000","0.000214000","1593619879.126094000",,"2.766742000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65211","1883","0x00000018","74","74","45","3","0.001648000","0.000215000","20","4096","0x00006239","$topic","6",,,,,"1","0","0","0","0","0","0","0x00000002",,"0x00000010","60","18",,,"1",,,"4","MQTT",,,,,,,,,"4",,,,,"6"
"0.000635000","0.000635000","1593619879.126729000",,"2.767377000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65211","1883","0x00000019","68","68","46","3","0.001648000","0.000635000","14","4096","0x0000d57b",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000551000","0.000551000","1593619879.127280000",,"2.767928000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65214","1883","0x00000002","78","78","47","4",,"0.000000000","0","65535","0x0000e6c7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000391000","0.000391000","1593619879.127671000",,"2.768319000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65211","0x00000010","60","60","48","3","0.001648000","0.000942000","0","513","0x00002379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000669000","0.000669000","1593619879.128340000",,"2.768988000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65211","0x00000018","60","60","49","3","0.001648000","0.000669000","4","513","0x0000036b",,,"0x00000000","0","0","0",,,,,,,,,,"0x00000020",,"2",,,"2",,,,,,,,,,,,,,,,,,"6"
"0.000004000","0.000004000","1593619879.128344000",,"2.768992000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000018","68","68","50","0","0.001420000","0.002465000","14","513","0x0000f0ec",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000001000","0.000001000","1593619879.128345000",,"2.768993000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65211","0x00000011","60","60","51","3",,"0.000005000","0","513","0x00002374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.128346000",,"2.768994000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65214","0x00000012","66","66","52","4",,"0.001066000","0","65535","0x0000a719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000118000","0.000118000","1593619879.128464000",,"2.769112000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65211","1883","0x00000004","54","54","53","3",,"0.000119000","0","0","0x000068a2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.128465000",,"2.769113000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65211","1883","0x00000004","54","54","54","3",,"0.000001000","0","0","0x000068a2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000000000","0.000000000","1593619879.128465000",,"2.769113000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","55","0","0.001420000","0.000121000","0","4095","0x000022ed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000129000","0.000129000","1593619879.128594000",,"2.769242000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65214","1883","0x00000010","54","54","56","4","0.001314000","0.000248000","0","4096","0x0000d7ec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000428000","0.000428000","1593619879.129022000",,"2.769670000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65214","1883","0x00000018","68","68","57","4","0.001314000","0.000428000","14","4096","0x000021e3","","0",,,,,"1","0","0","0","0","0","0","0x00000002",,"0x00000010","60","12",,,"1",,,"4","MQTT",,,,,,,,,"4",,,,,"6"
"0.000145000","0.000145000","1593619879.129167000",,"2.769815000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65214","1883","0x00000019","68","68","58","4","0.001314000","0.000145000","14","4096","0x000097d1",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000572000","0.000572000","1593619879.129739000",,"2.770387000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65217","1883","0x00000002","78","78","59","5",,"0.000000000","0","65535","0x0000a93f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000594000","0.000594000","1593619879.130333000",,"2.770981000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65214","0x00000010","60","60","60","4","0.001314000","0.001166000","0","513","0x0000e5ce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000005000","0.000005000","1593619879.130338000",,"2.770986000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65214","0x00000018","60","60","61","4","0.001314000","0.000005000","4","513","0x0000c5c0",,,"0x00000000","0","0","0",,,,,,,,,,"0x00000020",,"2",,,"2",,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.130339000",,"2.770987000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65198","0x00000018","68","68","62","0","0.001420000","0.001874000","14","513","0x0000f0de",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000001000","0.000001000","1593619879.130340000",,"2.770988000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65214","0x00000011","60","60","63","4",,"0.000002000","0","513","0x0000e5c9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000123000","0.000123000","1593619879.130463000",,"2.771111000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65214","1883","0x00000004","54","54","64","4",,"0.000123000","0","0","0x0000bc88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000001000","0.000001000","1593619879.130464000",,"2.771112000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65214","1883","0x00000004","54","54","65","4",,"0.000001000","0","0","0x0000bc88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000000000","0.000000000","1593619879.130464000",,"2.771112000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65198","1883","0x00000010","54","54","66","0","0.001420000","0.000125000","0","4095","0x000022df",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.001171000","0.001171000","1593619879.131635000",,"2.772283000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65217","0x00000012","66","66","67","5",,"0.001896000","0","65535","0x0000fc50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000074000","0.000074000","1593619879.131709000",,"2.772357000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65217","1883","0x00000010","54","54","68","5","0.001970000","0.000074000","0","4096","0x00002d24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000213000","0.000213000","1593619879.131922000",,"2.772570000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65217","1883","0x00000018","749","749","69","5","0.001970000","0.000213000","695","4096","0x0000d111","testtesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttest","680",,,,,"1","0","0","0","0","0","0","0x00000002",,"0x00000010","60","692",,,"1",,,"4","MQTT",,,,,,,,,"4",,,,,"6"
"0.000279000","0.000279000","1593619879.132201000",,"2.772849000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65217","1883","0x00000019","68","68","70","5","0.001970000","0.000279000","14","4096","0x0000ea5f",,,,,,,,,,,,,,,"0","0x00000030",,"12","74657374",,"3",,,,,"0","0",,,"Topic1","6",,,,,,,,"6"
"0.000704000","0.000704000","1593619879.132905000",,"2.773553000","8c:85:90:b3:e6:d9","bc:5f:f4:65:87:30","192.168.1.90","192.168.1.91","65220","1883","0x00000002","78","78","71","6",,"0.000000000","0","65535","0x00001c52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000065000","0.000065000","1593619879.132970000",,"2.773618000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65217","0x00000010","60","60","72","5","0.001970000","0.000769000","0","510","0x00003860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
"0.000653000","0.000653000","1593619879.133623000",,"2.774271000","bc:5f:f4:65:87:30","8c:85:90:b3:e6:d9","192.168.1.91","192.168.1.90","1883","65217","0x00000018","60","60","73","5","0.001970000","0.000653000","4","510","0x00001852",,,"0x00000000","0","0","0",,,,,,,,,,"0x00000020",,"2",,,"2",,,,,,,,,,,,,,,,,,"6"
