timestamp,client_id,topic,QoS,message_length,retained,duplicate,Ammonia (ppm),Acetone (ppm),Ethanol (ppm),Hydrogen Sulfide (ppm),label
2025-08-04 16:41:50.835310,sensor_005,wound/gas/sensor_005,2,102,True,False,19.96,3.03,4.89,1.29,1
2025-08-04 15:54:38.835446,sensor_001,wound/gas/sensor_001,2,100,False,True,5.17,1.88,2.5,2.96,1
2025-08-04 16:33:08.835591,sensor_003,wound/gas/sensor_003,1,100,True,True,5.22,8.13,2.4,2.95,1
2025-08-04 15:07:47.835753,sensor_001,wound/gas/sensor_001,2,102,False,True,10.41,7.11,4.31,1.05,0
2025-08-04 16:54:55.835945,sensor_003,wound/gas/sensor_003,0,100,True,False,2.38,9.43,2.05,1.6,1
2025-08-04 15:53:10.836110,sensor_001,wound/gas/sensor_001,1,101,False,True,4.58,5.64,3.51,0.76,0
2025-08-04 17:09:17.836254,sensor_004,wound/gas/sensor_004,2,102,True,True,19.93,9.67,2.84,2.66,1
2025-08-04 14:58:52.836371,sensor_003,wound/gas/sensor_003,2,102,True,False,14.66,9.02,4.45,2.36,1
2025-08-04 15:02:49.836515,sensor_004,wound/gas/sensor_004,0,102,True,False,13.55,6.02,1.92,2.83,1
2025-08-04 16:55:37.836668,sensor_002,wound/gas/sensor_002,1,101,True,False,9.24,9.95,0.96,0.15,1
2025-08-04 15:01:27.836789,sensor_004,wound/gas/sensor_004,2,102,True,False,13.17,8.57,3.32,1.75,0
2025-08-04 15:17:32.836901,sensor_005,wound/gas/sensor_005,2,101,False,True,17.89,6.5,3.99,1.56,1
2025-08-04 15:30:10.837005,sensor_005,wound/gas/sensor_005,1,102,True,False,10.23,5.93,3.87,0.23,0
2025-08-04 17:25:46.837110,sensor_005,wound/gas/sensor_005,0,101,False,True,18.6,4.57,4.84,2.89,1
2025-08-04 17:27:06.837301,sensor_005,wound/gas/sensor_005,1,101,True,False,4.22,3.05,2.48,1.18,0
2025-08-04 16:12:44.837460,sensor_002,wound/gas/sensor_002,1,102,True,True,11.62,1.42,3.11,2.97,1
2025-08-04 17:19:57.837607,sensor_002,wound/gas/sensor_002,2,101,True,False,6.79,8.56,0.77,2.16,0
2025-08-04 16:03:40.837772,sensor_002,wound/gas/sensor_002,0,99,False,True,5.5,6.31,0.5,0.12,0
2025-08-04 16:03:24.837913,sensor_004,wound/gas/sensor_004,1,101,True,True,7.09,4.07,0.56,1.78,0
2025-08-04 17:33:52.838043,sensor_002,wound/gas/sensor_002,1,102,False,True,19.65,8.47,4.32,0.83,1
2025-08-04 17:01:55.838150,sensor_003,wound/gas/sensor_003,2,100,False,False,6.87,8.36,1.43,2.9,1
2025-08-04 15:10:23.838256,sensor_005,wound/gas/sensor_005,0,102,False,False,10.86,5.64,3.22,2.21,0
2025-08-04 17:15:13.838361,sensor_002,wound/gas/sensor_002,1,100,True,False,1.3,4.29,2.22,2.26,0
2025-08-04 16:04:17.838499,sensor_005,wound/gas/sensor_005,0,99,True,False,16.8,7.11,2.1,0.6,1
2025-08-04 15:40:02.838621,sensor_001,wound/gas/sensor_001,1,101,True,True,5.96,9.57,3.72,1.71,1
2025-08-04 16:50:59.838755,sensor_003,wound/gas/sensor_003,0,102,True,True,11.54,2.01,0.69,1.09,0
2025-08-04 15:53:09.838934,sensor_004,wound/gas/sensor_004,2,101,False,False,10.09,5.0,0.95,1.36,0
2025-08-04 16:55:57.839057,sensor_005,wound/gas/sensor_005,0,101,True,False,5.59,0.65,4.67,1.55,0
2025-08-04 15:11:59.839163,sensor_002,wound/gas/sensor_002,0,102,True,True,12.91,8.11,3.42,1.76,0
2025-08-04 16:07:54.839266,sensor_003,wound/gas/sensor_003,0,101,True,False,12.71,8.29,3.29,0.7,0
2025-08-04 15:14:21.839369,sensor_002,wound/gas/sensor_002,1,102,False,False,13.82,1.18,1.66,2.55,1
2025-08-04 15:16:38.839502,sensor_003,wound/gas/sensor_003,0,102,True,True,10.17,7.08,1.81,2.82,1
2025-08-04 15:15:39.839638,sensor_001,wound/gas/sensor_001,1,101,True,True,3.96,7.63,4.05,2.97,1
2025-08-04 16:46:06.839752,sensor_005,wound/gas/sensor_005,0,101,False,False,13.76,7.53,1.27,1.2,0
2025-08-04 17:20:41.839922,sensor_001,wound/gas/sensor_001,2,100,False,True,6.3,1.45,0.36,2.88,1
2025-08-04 17:31:29.840044,sensor_004,wound/gas/sensor_004,0,101,True,False,13.7,5.08,2.52,0.34,0
2025-08-04 16:10:18.840150,sensor_001,wound/gas/sensor_001,1,102,False,True,15.17,8.02,3.97,0.36,1
2025-08-04 15:07:38.840255,sensor_002,wound/gas/sensor_002,0,102,False,False,14.87,5.69,3.56,2.91,1
2025-08-04 15:45:50.840358,sensor_004,wound/gas/sensor_004,1,100,True,False,2.47,1.3,3.53,0.31,0
2025-08-04 17:17:46.840461,sensor_002,wound/gas/sensor_002,1,101,False,True,10.51,2.72,2.95,2.6,1
2025-08-04 17:21:22.840569,sensor_001,wound/gas/sensor_001,1,102,True,True,15.19,4.07,0.51,2.35,1
2025-08-04 16:03:49.840695,sensor_002,wound/gas/sensor_002,1,101,False,False,6.94,4.63,1.34,1.28,0
2025-08-04 15:19:19.840801,sensor_004,wound/gas/sensor_004,1,101,True,True,2.79,6.67,3.76,1.79,0
2025-08-04 15:37:10.840931,sensor_004,wound/gas/sensor_004,0,102,True,True,17.44,2.62,4.82,0.14,1
2025-08-04 16:33:51.841075,sensor_005,wound/gas/sensor_005,0,102,False,True,10.79,9.93,0.46,1.71,1
2025-08-04 16:47:10.841267,sensor_001,wound/gas/sensor_001,2,102,True,True,14.07,4.82,3.18,1.79,0
2025-08-04 17:20:53.841444,sensor_004,wound/gas/sensor_004,1,101,False,False,19.03,8.96,2.33,1.9,1
2025-08-04 16:41:27.841562,sensor_002,wound/gas/sensor_002,2,101,False,True,7.39,6.04,0.48,2.93,1
2025-08-04 16:14:46.841675,sensor_001,wound/gas/sensor_001,1,101,True,True,6.54,8.23,3.46,0.57,0
2025-08-04 15:46:20.841793,sensor_002,wound/gas/sensor_002,1,101,True,True,14.65,6.33,2.15,2.8,1
2025-08-04 17:26:31.841901,sensor_005,wound/gas/sensor_005,0,100,False,True,7.84,8.2,4.94,0.54,0
2025-08-04 16:38:01.842046,sensor_001,wound/gas/sensor_001,2,102,True,True,16.67,5.91,0.41,0.21,1
2025-08-04 17:10:06.842179,sensor_004,wound/gas/sensor_004,0,101,True,False,10.92,7.62,4.57,1.8,0
2025-08-04 16:33:48.842312,sensor_002,wound/gas/sensor_002,0,101,False,False,5.32,4.78,0.73,2.87,1
2025-08-04 16:20:30.842449,sensor_001,wound/gas/sensor_001,1,102,False,False,15.26,0.95,1.42,0.16,1
2025-08-04 16:30:43.842593,sensor_003,wound/gas/sensor_003,0,100,False,True,16.42,9.7,0.53,2.4,1
2025-08-04 15:46:50.842703,sensor_005,wound/gas/sensor_005,1,102,False,False,12.97,8.15,4.53,1.89,0
2025-08-04 15:29:49.842826,sensor_002,wound/gas/sensor_002,1,101,True,False,8.15,4.66,4.53,1.11,0
2025-08-04 16:26:09.842935,sensor_004,wound/gas/sensor_004,0,102,False,True,12.63,8.69,4.75,0.53,0
2025-08-04 16:03:55.843065,sensor_004,wound/gas/sensor_004,2,101,True,False,9.45,9.81,2.51,1.05,1
2025-08-04 17:11:40.843210,sensor_003,wound/gas/sensor_003,0,102,True,False,10.98,4.87,2.97,1.26,0
2025-08-04 17:32:20.843345,sensor_003,wound/gas/sensor_003,0,102,False,False,13.52,2.14,1.04,0.22,0
2025-08-04 16:38:26.843462,sensor_002,wound/gas/sensor_002,1,101,False,True,1.12,5.71,2.72,1.13,0
2025-08-04 15:42:46.843608,sensor_002,wound/gas/sensor_002,2,100,True,False,2.3,5.07,3.47,1.58,0
2025-08-04 16:29:34.843740,sensor_005,wound/gas/sensor_005,2,100,True,True,5.9,8.16,3.77,0.64,0
2025-08-04 15:27:36.843864,sensor_002,wound/gas/sensor_002,2,102,True,True,10.86,7.34,0.41,0.53,0
2025-08-04 16:05:36.843994,sensor_003,wound/gas/sensor_003,0,101,True,True,1.09,8.74,1.84,1.25,0
2025-08-04 15:15:01.844122,sensor_004,wound/gas/sensor_004,0,101,True,True,11.5,8.49,0.54,1.65,0
2025-08-04 16:00:38.844256,sensor_004,wound/gas/sensor_004,2,101,False,False,13.74,8.0,2.54,0.35,0
2025-08-04 15:48:35.844398,sensor_001,wound/gas/sensor_001,1,100,True,False,2.99,3.2,1.88,1.97,0
2025-08-04 17:28:50.844519,sensor_003,wound/gas/sensor_003,1,101,True,False,6.94,9.37,0.14,0.75,1
2025-08-04 15:47:00.844663,sensor_004,wound/gas/sensor_004,2,101,True,True,2.21,8.16,0.37,2.54,1
2025-08-04 15:11:35.844788,sensor_005,wound/gas/sensor_005,1,101,False,True,2.68,4.28,4.85,2.61,1
2025-08-04 16:10:46.844894,sensor_003,wound/gas/sensor_003,0,102,False,False,14.51,5.58,2.44,2.53,1
2025-08-04 15:14:51.845019,sensor_004,wound/gas/sensor_004,1,100,True,False,10.4,2.8,0.66,1.87,0
2025-08-04 15:46:58.845123,sensor_003,wound/gas/sensor_003,2,102,False,False,10.89,0.99,1.75,0.49,0
2025-08-04 17:09:06.845291,sensor_002,wound/gas/sensor_002,0,102,True,True,13.85,1.33,0.78,0.11,0
2025-08-04 15:08:16.845446,sensor_003,wound/gas/sensor_003,2,102,True,False,18.63,8.39,4.83,0.46,1
2025-08-04 15:27:24.845582,sensor_004,wound/gas/sensor_004,2,100,True,True,1.8,7.54,2.91,2.54,1
2025-08-04 15:47:45.845708,sensor_004,wound/gas/sensor_004,1,102,False,True,16.59,2.27,1.25,1.94,1
2025-08-04 17:25:41.845845,sensor_005,wound/gas/sensor_005,2,101,True,False,8.15,8.26,2.25,1.19,0
